operation,implementation,batch_size,mean_ms,std_ms
fusion2_cnn,pytorch_unfused,16,0.9910385770930185,0.11645980701505895
fusion2_cnn,triton_fused,16,1.4322563545571434,0.15791621746414664
fusion2_cnn,cuda_fused,16,1.7253203564220005,0.19457025675174927
fusion2_cnn,pytorch_unfused,32,1.185125861234135,0.21673463517405406
fusion2_cnn,triton_fused,32,2.277576000160641,0.12354385436217198
fusion2_cnn,cuda_fused,32,3.507974224620395,0.3896276400128328
fusion2_cnn,pytorch_unfused,64,1.082805484741718,0.12194791444182512
fusion2_cnn,triton_fused,64,4.52488817368354,0.45017143880092453
fusion2_cnn,cuda_fused,64,6.083744425873657,0.5095476838447139
fusion2_cnn,pytorch_unfused,128,1.5676330981189257,0.05996412205738007
fusion2_cnn,triton_fused,128,9.137014780959039,0.5330519624774831
fusion2_cnn,cuda_fused,128,19.106981290529852,4.089371030711119
fusion2_cnn,pytorch_unfused,256,3.603801793522305,0.43260875137721555
fusion2_cnn,triton_fused,256,21.521466573079426,1.4981903072589993
fusion2_cnn,cuda_fused,256,26.30137062072754,2.073337901203273
